"Repository","Language","Additions","Deletions","Net"
"Backend","GITIGNORE","17","0","17"
"Backend","Java","12461","149","12312"
"Backend","Markdown","7866","42","7824"
"Backend","PowerShell","4034","0","4034"
"Backend","Shell","75","0","75"
"Backend","SQL","633","86","547"
"Backend","XML","117","0","117"
"Backend","YAML","170","16","154"
"Frontend","Dart","15916","607","15309"
"Frontend","EDITORCONFIG","26","0","26"
"Frontend","EXAMPLE","2","0","2"
"Frontend","GITATTRIBUTES","1","0","1"
"Frontend","GITIGNORE","183","0","183"
"Frontend","GITKEEP","4","2","2"
"Frontend","H","1","0","1"
"Frontend","HTML","12","0","12"
"Frontend","JSON","733","0","733"
"Frontend","Kotlin","5","0","5"
"Frontend","Kotlin Script","95","0","95"
"Frontend","Markdown","10170","242","9928"
"Frontend","METADATA","33","0","33"
"Frontend","Plist","112","0","112"
"Frontend","PowerShell","1925","146","1779"
"Frontend","Properties","14","0","14"
"Frontend","SCSS","300","1","299"
"Frontend","STORYBOARD","63","0","63"
"Frontend","SWIFT","34","0","34"
"Frontend","TypeScript","1364","17","1347"
"Frontend","Vue","337","1","336"
"Frontend","Xcode Config","2","0","2"
"Frontend","Xcode Project","644","0","644"
"Frontend","XCSCHEME","119","0","119"
"Frontend","XCSETTINGS","16","0","16"
"Frontend","XCWORKSPACEDATA","14","0","14"
"Frontend","XML","127","23","104"
"Frontend","YAML","53","0","53"
